Date;TIme;DataO;DataN
29/5/2018;00:00:00;14440;14529
29/5/2018;00:01:00;14620;14570
29/5/2018;00:02:00;14680;14519
29/5/2018;00:03:00;14580;14328
29/5/2018;00:04:00;14520;14148
29/5/2018;00:05:00;14280;14448
29/5/2018;00:06:00;14430;14410
29/5/2018;00:07:00;14530;14045
29/5/2018;00:08:00;14220;14785
29/5/2018;00:09:00;14840;14389
29/5/2018;00:10:00;14490;14743
29/5/2018;00:11:00;14860;14216
29/5/2018;00:12:00;14360;14147
29/5/2018;00:13:00;14200;14413
29/5/2018;00:14:00;14480;14213
29/5/2018;00:15:00;14380;14807
29/5/2018;00:16:00;14880;14124
29/5/2018;00:17:00;14260;14826
29/5/2018;00:18:00;14900;14439
29/5/2018;00:19:00;14510;14470
29/5/2018;00:20:00;14640;14683
29/5/2018;00:21:00;14840;14649
29/5/2018;00:22:00;14770;14379
29/5/2018;00:23:00;14510;14442
29/5/2018;00:24:00;14430;14732
29/5/2018;00:25:00;15030;14574
29/5/2018;00:26:00;14600;14486
29/5/2018;00:27:00;14650;14138
29/5/2018;00:28:00;14190;14348
29/5/2018;00:29:00;14410;14481
29/5/2018;00:30:00;14660;14538
29/5/2018;00:31:00;14520;14152
29/5/2018;00:32:00;14200;14197
29/5/2018;00:33:00;14390;14346
29/5/2018;00:34:00;14370;14418
29/5/2018;00:35:00;14650;14538
29/5/2018;00:36:00;14640;14692
29/5/2018;00:37:00;14700;14302
29/5/2018;00:38:00;14440;14314
29/5/2018;00:39:00;14470;14319
29/5/2018;00:40:00;14380;14362
29/5/2018;00:41:00;14480;14395
29/5/2018;00:42:00;14560;14545
29/5/2018;00:43:00;14570;14509
29/5/2018;00:44:00;14590;14239
29/5/2018;00:45:00;14380;14498
29/5/2018;00:46:00;14660;14271
29/5/2018;00:47:00;14370;14330
29/5/2018;00:48:00;14450;14211
29/5/2018;00:49:00;14340;14725
29/5/2018;00:50:00;14730;14176
29/5/2018;00:51:00;14360;14670
29/5/2018;00:52:00;14700;14636
29/5/2018;00:53:00;14810;14673
29/5/2018;00:54:00;14700;14676
29/5/2018;00:55:00;14920;14212
29/5/2018;00:56:00;14220;14638
29/5/2018;00:57:00;14750;14440
29/5/2018;00:58:00;14540;14557
29/5/2018;00:59:00;14620;14474
29/5/2018;01:00:00;14620;14328
29/5/2018;01:01:00;14400;14525
29/5/2018;01:02:00;14580;14537
29/5/2018;01:03:00;14750;13894
29/5/2018;01:04:00;13920;14300
29/5/2018;01:05:00;14530;14378
29/5/2018;01:06:00;14380;14750
29/5/2018;01:07:00;14770;14388
29/5/2018;01:08:00;14540;14427
29/5/2018;01:09:00;14540;14547
29/5/2018;01:10:00;14660;14381
29/5/2018;01:11:00;14520;14789
29/5/2018;01:12:00;14900;14745
29/5/2018;01:13:00;14840;14564
29/5/2018;01:14:00;14610;14557
29/5/2018;01:15:00;14670;14730
29/5/2018;01:16:00;14830;14582
29/5/2018;01:17:00;14650;14341
29/5/2018;01:18:00;14560;14562
